t nact i x dx dlx rho vx p D sx tau trac Sd
1.003547944681137e+03 2000 37 3.512663469996267e+00 1.715489689514182e-03 1.715489689514182e-03 4.468216433781273e-11 9.999288494520566e-01 1.000000004733648e-10 3.745741514951693e-09 2.882905145887632e-06 2.879264539248465e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 38 3.514420353995494e+00 1.798278308940304e-03 1.798278308940304e-03 4.461781588929496e-11 9.999289201959394e-01 1.000000004730225e-10 3.742207939210854e-09 2.885590689729388e-06 2.881953603590547e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 39 3.516220654128620e+00 1.802321957312003e-03 1.802321957312003e-03 4.455446807315880e-11 9.999289790321704e-01 1.000000004729689e-10 3.738442310392287e-09 2.887800341808532e-06 2.884167008439876e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 40 3.517983557442517e+00 1.723484670480779e-03 1.723484670480779e-03 4.448553211330634e-11 9.999290479978646e-01 1.000000004718700e-10 3.734471660461677e-09 2.890410483466308e-06 2.886781106768068e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 41 3.519740948384570e+00 1.791297213625587e-03 1.791297213625587e-03 4.442511315550487e-11 9.999291061207671e-01 1.000000004706833e-10 3.730928030823506e-09 2.892607734813409e-06 2.888981889504644e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 42 3.521498356983437e+00 1.723519984108801e-03 1.723519984108801e-03 4.434894510355276e-11 9.999291994708720e-01 1.000000004703506e-10 3.726985745409491e-09 2.896204157074148e-06 2.892582238633926e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 43 3.523261396134188e+00 1.802558317392844e-03 1.802558317392844e-03 4.428502151271639e-11 9.999292699315531e-01 1.000000004689721e-10 3.723466943053055e-09 2.898906825072149e-06 2.895288412510296e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 44 3.525060067397813e+00 1.794784209857792e-03 1.794784209857792e-03 4.422191441037003e-11 9.999293284653368e-01 1.000000004679018e-10 3.719700335559807e-09 2.901127682555077e-06 2.897513023855237e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 45 3.526815456333766e+00 1.715993662048110e-03 1.715993662048110e-03 4.415345161232758e-11 9.999293975496885e-01 1.000000004678224e-10 3.715758161196142e-09 2.903770987112967e-06 2.900160256773603e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 46 3.528570522267318e+00 1.794138205055251e-03 1.794138205055251e-03 4.409358576030108e-11 9.999294561649715e-01 1.000000004665496e-10 3.712261372243925e-09 2.906012869144478e-06 2.902405623526797e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 47 3.530336699412916e+00 1.738216086141886e-03 1.738216086141886e-03 4.401809721585064e-11 9.999295496397594e-01 1.000000004660394e-10 3.708363582619152e-09 2.909653113496303e-06 2.906049750465601e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 48 3.532111441656921e+00 1.811268401867405e-03 1.811268401867405e-03 4.395417052765374e-11 9.999296203619302e-01 1.000000004655109e-10 3.704837960513505e-09 2.912394428796660e-06 2.908794578528456e-06 1.000000000000000e+00 0.000000000000000e+00
1.003547944681137e+03 2000 49 3.533915824218322e+00 1.797496720933101e-03 1.797496720933101e-03 4.389109093666951e-11 9.999296792663082e-01 1.000000004640440e-10 3.701070145296151e-09 2.914653933243329e-06 2.911057838114606e-06 1.000000000000000e+00 0.000000000000000e+00
