t nact i x dx dlx rho vx p D sx tau trac Sd gmin gmax
1.000000000000000e+02 2000 15 5.894911472389343e-02 1.651142271230853e-03 1.651142271230853e-03 2.783364393270388e-09 9.999500000000000e-01 1.904165710381169e-15 2.783399185977610e-07 2.783302423893214e-05 2.755607603922820e-05 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 16 6.060025699512428e-02 1.651142271230853e-03 1.651142271230853e-03 2.633757043614515e-09 9.999500000000000e-01 1.768936585398072e-15 2.633789966194805e-07 2.633698273611619e-05 2.607492065271033e-05 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 17 6.225139926635513e-02 1.651142271230853e-03 1.651142271230853e-03 2.495895547778888e-09 9.999500000000000e-01 1.646568713783319e-15 2.495926747058171e-07 2.495839734940310e-05 2.471005265531730e-05 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 18 6.390254153758598e-02 1.651142271230853e-03 1.651142271230853e-03 2.368581753529517e-09 9.999500000000000e-01 1.535544793718834e-15 2.368611361356535e-07 2.368528679530796e-05 2.344960998119270e-05 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 19 6.555368380881683e-02 1.651142271230853e-03 1.651142271230853e-03 2.250766475863514e-09 9.999500000000000e-01 1.434559507036758e-15 2.250794610971950e-07 2.250715943389328e-05 2.228320538560393e-05 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 20 6.720482608004769e-02 1.651142271230853e-03 1.651142271230853e-03 2.141527811864245e-09 9.999500000000000e-01 1.342485517458711e-15 2.141554581463779e-07 2.141479642138188e-05 2.120171175525375e-05 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 21 6.885596835127854e-02 1.651142271230853e-03 1.651142271230853e-03 2.040053050975756e-09 9.999500000000000e-01 1.258345592900744e-15 2.040078552116998e-07 2.040007081630865e-05 2.019708301438215e-05 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 22 7.050711062250939e-02 1.651142271230853e-03 1.651142271230853e-03 1.945623515204677e-09 9.999500000000000e-01 1.181289633675293e-15 1.945647835954591e-07 1.945579598441073e-05 1.926220403807512e-05 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 23 7.215825289374025e-02 1.651142271230853e-03 1.651142271230853e-03 1.857601799194495e-09 9.999500000000000e-01 1.110575652610256e-15 1.857625019652331e-07 1.857559800179958e-05 1.839076432506518e-05 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 24 7.380939516497109e-02 1.651142271230853e-03 1.651142271230853e-03 1.775420985606414e-09 9.999500000000000e-01 1.045553955462673e-15 1.775443178784820e-07 1.775380781083298e-05 1.757715122668622e-05 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 25 7.546053743620196e-02 1.651142271230853e-03 1.651142271230853e-03 1.698575493909085e-09 9.999500000000000e-01 9.856539260176217e-16 1.698596726500835e-07 1.698536970977166e-05 1.681635934708696e-05 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 26 7.711167970743280e-02 1.651142271230853e-03 1.651142271230853e-03 1.626613285842153e-09 9.999500000000000e-01 9.303729412959224e-16 1.626633618889438e-07 1.626576340892006e-05 1.610391337493763e-05 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 27 7.876282197866366e-02 1.651142271230853e-03 1.651142271230853e-03 1.559129202468327e-09 9.999500000000000e-01 8.792670367483035e-16 1.559148691948753e-07 1.559093740243938e-05 1.543580211821465e-05 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 28 8.041396424989450e-02 1.651142271230853e-03 1.651142271230853e-03 1.495759248885562e-09 9.999500000000000e-01 8.319430154436226e-16 1.495777946226718e-07 1.495725181658271e-05 1.480842192111392e-05 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 29 8.206510652112536e-02 1.651142271230853e-03 1.651142271230853e-03 1.436175675632813e-09 9.999500000000000e-01 7.880517537529284e-16 1.436193628165339e-07 1.436142922471438e-05 1.421852796847639e-05 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 30 8.371624879235622e-02 1.651142271230853e-03 1.651142271230853e-03 1.380082732349560e-09 9.999500000000000e-01 7.472825024266636e-16 1.380099983707150e-07 1.380051218473900e-05 1.366319224573325e-05 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 31 8.536739106358707e-02 1.651142271230853e-03 1.651142271230853e-03 1.327212990696488e-09 9.999500000000000e-01 7.093580189438705e-16 1.327229581169916e-07 1.327182646903275e-05 1.313976713471107e-05 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 32 8.701853333481792e-02 1.651142271230853e-03 1.651142271230853e-03 1.277324150961902e-09 9.999500000000000e-01 6.740303966301273e-16 1.277340117813142e-07 1.277294913113909e-05 1.264585379807428e-05 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 33 8.866967560604877e-02 1.651142271230853e-03 1.651142271230853e-03 1.230196260983555e-09 9.999500000000000e-01 6.410774798692589e-16 1.230211638725125e-07 1.230168069553897e-05 1.217927464581590e-05 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 34 9.032081787727962e-02 1.651142271230853e-03 1.651142271230853e-03 1.185629287648063e-09 9.999500000000000e-01 6.102997739881686e-16 1.185644108292021e-07 1.185602087312850e-05 1.173804929237419e-05 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
1.000000000000000e+02 2000 35 9.197196014851047e-02 1.651142271230853e-03 1.651142271230853e-03 1.143440990793595e-09 9.999500000000000e-01 5.815177740177147e-16 1.143455284073956e-07 1.143414730067052e-05 1.132037350763344e-05 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00
