log_aum	lfac_A	lfac_x_b	lfac_alpha	lfac_s	nu_A	nu_x_b	nu_alpha	nu_s	L_A	L_x_b	L_alpha	L_s	xi_k	xi_sat	xi_s
0.0	0.9900662783272712	1.9809814877616132	0.027127703264494537	0.5079559757559473	0.7915384071591655	1.980981487754178	0.6058320546896913	0.46686774462134406	0.8976465457062064	2.0162820488604694	0.40017547628664313	0.4288312732676153	0.3034031063374193	1.1505372721063856	1.1451434069974424
0.1	0.9911201084545912	1.9659168595376169	0.02618882424098077	0.548945799002628	0.8249436714558781	1.967207242350258	0.5300480792676825	0.4941393620345488	0.921273956441235	2.005927660117332	0.3588491754308856	0.4393582140440767	0.3028518425265449	1.1177434527384351	1.1661438847431196
0.2	0.9927234774024518	1.949929374579636	0.02433372138191052	0.5988928280304344	0.860564173332907	1.9650003187264449	0.44690515941498726	0.5253463718118936	0.9464569958679886	2.0097743870886102	0.3193601636016637	0.4388620397684768	0.301755570141002	1.092508749693352	1.169121943344523
0.3	0.9946424766486553	1.9313420268169408	0.02067221687557756	0.7013366607252457	0.8987603438583474	1.9454625966151056	0.35180365732686086	0.5921019592375926	0.9721148969276385	1.9976843889891367	0.2584147400322951	0.47478322510028864	0.30115418810234734	1.052258119238158	1.2020970796893315
0.4	0.996718509991056	1.9241531214420624	0.016228812650780765	0.8822108389728203	0.9361258901910433	1.9388498226879451	0.2563412880289692	0.6984873396622513	1.0001976626004736	1.9410676643549656	0.2164864206151976	0.4792917483917877	0.3018905791930107	1.0554464748298162	1.199310422267202
0.5	0.9988602810779447	1.9042178575205817	0.01149893975534628	1.3753093094474684	0.9722945467965498	1.9172285738242945	0.16483965686403676	0.966821688424552	1.0243868468889812	1.92272220536876	0.16416365308618583	0.503134772331548	0.301604437229873	1.0256374690205494	1.2203874574979303
0.6	0.9958120532827996	8.625947182436173	0.005846847380134194	2.9999999999999996	1.000574980110668	2.0548834690766697	0.08141566303424709	2.9999999999999996	1.045276255498357	1.900809769806776	0.11775274025766871	0.4988941208011661	0.3016945839654635	1.0049937017361148	1.2384556714144372
0.7	0.999174258662168	8.561012228717718	0.003950272969045279	2.9999999999999996	1.0038912426121271	8.561012228717592	0.031794616222617665	2.9999999999999996	1.0624222792743496	1.8895267124792008	0.07731557599432352	0.45620347142804824	0.29975657767970154	0.941512365698926	1.3003277968291442
0.8	1.0022492595578498	8.224513548618226	0.001959439670309236	2.9999999999999996	1.0511086016423072	8.495051189680238	0.002334318080980778	2.9999999999999996	1.0716037547754396	1.876116433609424	0.06109249885662157	0.1145544391484656	0.30147202215720414	0.9637563582994711	1.3013686649834408
0.9	1.0046654472916612	8.11758725159048	0.0	2.9999999999998725	1.085723399288704	3.800141461868957	-0.03171536877452358	0.050000000351549834	1.0865018383749911	8.456848868501993	-0.001035089664975838	2.9999999999999996	0.2917231644353264	0.8211332476949381	1.3741535407389605
1.0	1.0062516439004614	3.464642512546229	-0.0017138689967366452	0.05000000006448018	1.1117442425657251	4.022028007517736	-0.04696558244178438	0.05000000000000001	1.1026515510384665	5.280151323806288	-0.00920077223152976	0.05000000003337972	0.28997140918358355	0.8038271579842085	1.3902698474528972
1.1	1.0074031466520694	3.6728218341494254	-0.0025797878916207664	0.050000000014936624	1.1313162529852212	4.177845433496351	-0.0581880487105321	0.05000000000000001	1.1146729428236775	5.3995192848035805	-0.015340491728924493	0.05000000000000001	0.2902563026343816	0.8033467962561793	1.39215331622693
1.2	1.0082227587956383	3.800264588859157	-0.003183653401249584	0.05000000000000001	1.1453204318474863	4.276051419958172	-0.066146997134815	0.05000000000000001	1.1232523563333408	5.427140211043472	-0.02019807470542169	0.05000000000000365	0.29055156760013007	0.8023802643947202	1.3953519296559895
1.3	1.008789989981564	3.880259183502357	-0.003586440906510437	0.05000000000000001	1.1550997390395283	4.3437864321133395	-0.071489606482239	0.05000000000000021	1.1291942956291308	5.4829955699948165	-0.023106614732582468	0.050000000000011605	0.288285588077828	0.7821403511506566	1.4115673180628303
1.4	1.009331394683901	4.095957528542912	-0.003827303747837505	0.05000000000000001	1.1631370448813316	4.4789554183498765	-0.07427644133457172	0.05000000000000001	1.133192012396104	5.494290981147903	-0.025133590113371983	0.05000000000000001	0.28751177872309414	0.7802653867303193	1.4031008201830115
1.5	1.0094242953874843	3.977247508102516	-0.0039777081632945644	0.05000000000000001	1.166086227427642	4.425976772723547	-0.07676757915361636	0.05000000000000013	1.1359022264237109	5.559824447658872	-0.02617817834558836	0.05000000000000001	0.2887874409715003	0.787800557126692	1.4001632719921528
