log_aum	Tf	t_max	lfac_A	lfac_x_b	lfac_alpha	lfac_s	ShSt_A	ShSt_x_b	ShSt_alpha	ShSt_s	nu_A	nu_x_b	nu_alpha	nu_s	L_A	L_x_b	L_alpha	L_s	xi_k	xi_sat	xi_s
0.000000000000000000e+00	7.720469690676713626e+00	2.193919473947078984e+02	1.052636832618787821e+00	1.969434549445146176e+00	-1.006098985842457799e-01	2.746550157621826527e-01	7.828065912570416618e-01	2.003580889184448655e+00	4.794780585614083490e-01	2.790070549317154036e-01	5.403864026290295941e-01	1.965150379362420763e+00	1.257008439472387940e+00	2.971095218018159345e-01	7.156873725604508962e-01	1.966221308848793869e+00	7.791199378958592048e-01	3.765831993163488156e-01	3.249113894633333111e-01	1.590836619350886938e+00	8.346977699677570195e-01
1.000000000000000056e-01	7.459180213468435738e+00	2.026663531115665080e+02	1.064959310750231536e+00	1.955950354015224990e+00	-1.237982008216552549e-01	2.690856218622316720e-01	7.836066772654164403e-01	1.949747815782525429e+00	5.034664777631753241e-01	2.786333207620035890e-01	5.332583475444429011e-01	1.950781479152686959e+00	1.292440160866489718e+00	2.913519515159065376e-01	7.096813751283759242e-01	1.950781479152686959e+00	8.001951189303743162e-01	3.692970078518501009e-01	3.279709916674592440e-01	1.649948687488976606e+00	8.112326599562552643e-01
2.000000000000000111e-01	7.192368425260871057e+00	1.894181939640182861e+02	1.078366076841311694e+00	1.940740924913779919e+00	-1.495642788613683050e-01	2.684733794636917636e-01	7.829359200894709936e-01	1.934797815811482691e+00	5.085697797824597632e-01	2.776869622810014815e-01	5.293801388936349994e-01	1.934797815811482691e+00	1.320630328799484277e+00	2.910338066847608651e-01	7.065921881083457867e-01	1.935788049472002781e+00	8.131620701142070473e-01	3.720920060309780841e-01	3.314152713005824591e-01	1.718111432615070155e+00	7.880640843222129766e-01
2.999999999999999889e-01	6.935100384260000084e+00	1.792024355905136872e+02	1.092491398309498818e+00	1.924043709174783068e+00	-1.774813233549512315e-01	2.683208360540619841e-01	7.840206823148863080e-01	1.917463110687399830e+00	5.117078257713060241e-01	2.769607131788361931e-01	5.276410962661065573e-01	1.917463110687399608e+00	1.346501437494865172e+00	2.901958983621756305e-01	7.045344806219183686e-01	1.918406429765220134e+00	8.262878441159716703e-01	3.717530892086095551e-01	3.346803641384596406e-01	1.805199972863379410e+00	7.582099249897785720e-01
4.000000000000000222e-01	6.707363485540898118e+00	1.713001551543914900e+02	1.106218420758243282e+00	1.906286807992159327e+00	-2.061664279908761443e-01	2.713141645195473184e-01	7.875523028280031479e-01	1.899223218047069617e+00	5.106659139094147370e-01	2.793420022215726828e-01	5.295599668396451243e-01	1.900109161658033230e+00	1.362415486159559652e+00	2.925752436894575870e-01	7.050253996596470563e-01	1.902757141853889999e+00	8.331290909298021408e-01	3.756903106323840613e-01	3.382853670200233753e-01	1.863728589708900207e+00	7.455943331738668078e-01
5.000000000000000000e-01	6.487105079152764908e+00	1.650803358579968858e+02	1.118805207573757343e+00	1.889175637685804876e+00	-2.342245711731724966e-01	2.751922684973171496e-01	7.926920382705207047e-01	1.884254846496392410e+00	5.046190593498699473e-01	2.822070607188097990e-01	5.344950636458997151e-01	1.884254846496324243e+00	1.367884220827161323e+00	2.960618839462367258e-01	7.067927600998918924e-01	1.891631646585185234e+00	8.347408843470819351e-01	3.793340575150399574e-01	3.409973067565711391e-01	1.914500022155738446e+00	7.258281578574277138e-01
5.999999999999999778e-01	6.331473838918399544e+00	1.601576542830819108e+02	1.129394852927584569e+00	1.872290377290983132e+00	-2.597796597543924890e-01	2.808609026710138790e-01	7.997987447852198395e-01	1.867002397434544880e+00	4.953724413491841783e-01	2.869760583405675525e-01	5.416867890229937199e-01	1.873794842100421576e+00	1.357153837173506572e+00	3.002741378755341417e-01	7.116512225795751378e-01	1.873794842100421576e+00	8.360512800859315474e-01	3.848413972004261496e-01	3.437445871123189223e-01	1.989805044624687325e+00	7.101372402540921946e-01
6.999999999999999556e-01	6.198362409620833624e+00	1.563953382620337891e+02	1.137701008331024388e+00	1.857483023290201984e+00	-2.827863203542467230e-01	2.853292993951818679e-01	8.072712819491548730e-01	1.857483023290210422e+00	4.827027509523656446e-01	2.892270909651434851e-01	5.525427212379803166e-01	1.857483023290201984e+00	1.351586430342547551e+00	3.036064207992718034e-01	7.181362826436207270e-01	1.857483023290201984e+00	8.411506162787161234e-01	3.862455539490686207e-01	3.455083204337463521e-01	2.080057637331303333e+00	6.894684771998498274e-01
8.000000000000000444e-01	6.104999640868996380e+00	1.535954519563310896e+02	1.143817424768849067e+00	1.843109378416446287e+00	-2.990131211653976329e-01	2.919896629279212785e-01	8.155352981431456261e-01	1.843109378413634980e+00	4.650992951587510360e-01	2.951045672788196184e-01	5.645069562272723163e-01	1.843109378413660737e+00	1.319509295704616170e+00	3.110543568703452721e-01	7.246791458514048045e-01	1.843109378413634980e+00	8.226702735279756151e-01	3.974735341959436674e-01	3.477472027479709404e-01	2.053589811766673989e+00	6.944229030571100747e-01
9.000000000000000222e-01	6.031322965750962162e+00	1.515462904094742100e+02	1.147961610476169625e+00	1.830305685356288903e+00	-3.129350345923294641e-01	2.958460161341192052e-01	8.235369974328087261e-01	1.830305685356288903e+00	4.501785043249967311e-01	2.977296226974394111e-01	5.767674346977009758e-01	1.830305685356288903e+00	1.294190246590554150e+00	3.143849919237692303e-01	7.316902127179366611e-01	1.829736997079041805e+00	8.144634393402535588e-01	4.013203160671232061e-01	3.490088070196699088e-01	2.080583549004361377e+00	6.877870877249427917e-01
1.000000000000000000e+00	5.978601445924207169e+00	1.499969159864550932e+02	1.150624325997620101e+00	1.820348036347235521e+00	-3.232613538548533838e-01	2.987681664475522747e-01	8.308671360232102732e-01	1.820348036347229304e+00	4.354439753074698660e-01	2.995907957972047675e-01	5.886112807365913024e-01	1.820348036347229304e+00	1.266174974273770015e+00	3.171984780211903887e-01	7.383782460257780622e-01	1.820348036347229304e+00	8.042308830717083135e-01	4.053533389249714403e-01	3.498049261144363653e-01	2.264472536550059978e+00	6.648770518916961025e-01
1.100000000000000089e+00	5.936033014654287676e+00	1.489337637499610878e+02	1.152212848742046880e+00	1.811369934344778665e+00	-3.311903812362704258e-01	3.004810529615543069e-01	8.373295078606132202e-01	1.811369934344778665e+00	4.224739622960980712e-01	3.003288978478875770e-01	5.995790797248479187e-01	1.810909729302672577e+00	1.240598543327959602e+00	3.189700290305558794e-01	7.445656207513110525e-01	1.810909729302669247e+00	7.960707712569313754e-01	4.076028740265295602e-01	3.506304800375810715e-01	2.274321124489931734e+00	6.607298483141139656e-01
1.199999999999999956e+00	5.914862594077658464e+00	1.500228257015403130e+02	1.153009192412273842e+00	1.803393825126911709e+00	-3.370571581073554812e-01	3.017832373126927981e-01	8.429368764846473239e-01	1.803393825126911487e+00	4.110696178474776419e-01	3.008498572166896645e-01	6.092929497905795744e-01	1.803393825126911487e+00	1.216166174666754696e+00	3.204045128152440691e-01	7.488136249240796571e-01	1.810443460718605069e+00	7.799600001763677959e-01	4.113994086801247008e-01	3.513528537751088310e-01	2.248511378847855902e+00	6.642546949586444205e-01
1.300000000000000044e+00	5.904305714165917429e+00	1.495871093791409123e+02	1.153517438042576115e+00	1.797995140241230194e+00	-3.410682800730145403e-01	3.024903175994289595e-01	8.475096226581619874e-01	1.797995140241230194e+00	4.008810324499904043e-01	3.010149494877591425e-01	6.161999477990732776e-01	1.804588730464499635e+00	1.184395228479652840e+00	3.216601140793093339e-01	7.533378230366455375e-01	1.804588730464499635e+00	7.721587536783708350e-01	4.135110433529578522e-01	3.518971903165249993e-01	2.227284030399319992e+00	6.650773445389315253e-01
1.399999999999999911e+00	5.893767676232615216e+00	1.493949271997394135e+02	1.153662031796211629e+00	1.793568524815958964e+00	-3.441700967134743716e-01	3.030769306600528123e-01	8.508003955939200669e-01	1.799834370929874305e+00	3.899648804349078457e-01	3.007485270963400348e-01	6.233448699258949954e-01	1.799834370929874305e+00	1.166468614735516773e+00	3.226806134039725271e-01	7.573504513715696440e-01	1.799834370929874305e+00	7.665576718909288267e-01	4.151791187340946321e-01	3.522232426923049831e-01	2.231447436215884039e+00	6.632840028353259587e-01
1.500000000000000000e+00	5.883248446648484453e+00	1.492671079703549992e+02	1.153779097747190230e+00	1.790382025273867361e+00	-3.459748635815892426e-01	3.035067209160700052e-01	8.538852842875609417e-01	1.796320263221028224e+00	3.828957414893298661e-01	3.007224597298081559e-01	6.290758817436705730e-01	1.796320263221061531e+00	1.150244689897780503e+00	3.234104714351731524e-01	7.604002999979747601e-01	1.796320263221028224e+00	7.607190775634691260e-01	4.165605152272343625e-01	3.525495782531644640e-01	2.205465095263564379e+00	6.662149274080916284e-01
