,time,Nc_4,Nc_3,Nc_2,Nc_1,R_{rs},R_{cd},R_{fs},V_4,V_3,V_2,V_1,ShSt_{rs},ShSt_{fs},Emass_4,Emass_3,Emass_2,Emass_1,Ekin_4,Ekin_3,Ekin_2,Ekin_1,Eint_4,Eint_3,Eint_2,Eint_1
4300,8289.327806265335,295.0,200.0,176.0,329.0,248513750866096.4,248515032214960.12,248515621168200.6,9.986649727035303e+38,4.565170273415907e+38,7.552669330154374e+39,6.793524367354235e+39,0.02626849506078366,0.019037547861166182,0.014854782097355024,2.5353745227834832e+38,4.467163308648639e+38,1.0561939452375058e+39,2.3689092249476525e+38,3.1867531986099255e+40,5.608679096142935e+40,1.0462729270332552e+41,4.713977108691019e+40,1.2581702446133831e+38,4.956724095157857e+37,1.4047543142848858e+36
4400,8481.583596637185,291.0,204.0,180.0,325.0,254277232934093.47,254278535869714.44,254279137709317.34,1.0595476328616988e+39,4.887660684685908e+38,7.808252566033062e+39,7.010609804577026e+39,0.06406648991464303,0.01699060097838423,0.01696244345206921,2.7096384359856934e+38,4.782911832781611e+38,1.0921978219228402e+39,2.447240517419819e+38,3.4028985361493474e+40,6.005148500079805e+40,1.082020485939924e+41,4.868123503498517e+40,1.3470062442399358e+38,5.306881684549995e+37,1.4877057254349888e+36
4500,8673.725811399538,286.0,209.0,184.0,321.0,260037297938620.97,260038634720308.97,260039249547455.22,1.1385120148577479e+39,5.224822799621101e+38,8.062747911432147e+39,7.209794032403235e+39,0.048367406658669454,0.014871318481188833,0.018898782031608885,2.9020297754220393e+38,5.113056072213999e+38,1.1280620323111193e+39,2.514609082392637e+38,3.645947199546342e+40,6.419674198199731e+40,1.1176371554586383e+41,5.003566790968719e+40,1.4413284791761536e+38,5.673048142176412e+37,1.5723090914157127e+36
4600,8865.518033930128,281.0,214.0,188.0,317.0,265786869500191.44,265788241395403.3,265788869314663.66,1.2237019428223321e+39,5.576540873895587e+38,8.31554109204883e+39,7.402320262357435e+39,0.10595708418477479,0.012775524430879814,0.020492527466143606,3.1023983451362944e+38,5.45755639727713e+38,1.1636713536237921e+39,2.5807893740405642e+38,3.899927520705163e+40,6.852194886787634e+40,1.1530059542808955e+41,5.135673184511152e+40,1.53933125145643e+38,6.0552524874170875e+37,1.6578433264310153e+36
4700,9057.173882544126,277.0,218.0,193.0,312.0,271532366959842.06,271533759807966.38,271534409888289.8,1.2919570882796824e+39,5.978611854927396e+38,8.563105821219786e+39,7.61138710598481e+39,0.10946205177686363,0.010647569492229225,0.02164972714218516,3.3015331909735257e+38,5.8485020348814e+38,1.1960629673176921e+39,2.6559895647855515e+38,4.146597064477921e+40,7.342168680814771e+40,1.184457954847229e+41,5.284044153904633e+40,1.6407980010233732e+38,6.486929573496831e+37,1.4168109354973904e+36
4800,9248.841228247902,272.0,223.0,197.0,308.0,277278195679605.84,277279622887851.0,277280285301117.56,1.3830718024623158e+39,6.361287715904554e+38,8.812363805431121e+39,7.797152851670533e+39,0.03577125910929979,0.008624784655323126,0.0223984282312637,3.520144301413106e+38,6.224990436537688e+38,1.231188861534722e+39,2.7191164314289353e+38,4.423240791010225e+40,7.815057055484686e+40,1.2193104073159184e+41,5.410722350151276e+40,1.747669420079246e+38,6.9046147421086275e+37,1.48989850389262e+36
4900,9440.589305577632,267.0,228.0,201.0,304.0,283026443229645.44,283027906166785.94,283028581007565.1,1.4805842828139566e+39,6.760798055467517e+38,9.059528987944883e+39,7.975909151320277e+39,0.05166409051263887,0.02470944268844133,0.007144662473469676,3.747507051020452e+38,6.616875586824475e+38,1.2659496091018464e+39,2.7806374228507175e+38,4.711593500918671e+40,8.307252026617133e+40,1.2538114901540868e+41,5.533418029739565e+40,1.858818880574997e+38,7.339809587537927e+37,1.567579515444921e+36
5000,9632.530729711172,263.0,232.0,205.0,300.0,288780502653909.3,288781985653253.25,288782672999541.06,1.556573377446182e+39,7.177558800290182e+38,9.30446234804008e+39,8.175464761235658e+39,0.057627133352445625,0.023552810004545455,0.009017714221809747,3.973567344334613e+38,7.025748794983012e+38,1.3005461234198573e+39,2.8519822615430055e+38,4.991242827376998e+40,8.820762693457314e+40,1.2881624097833776e+41,5.674518127753198e+40,1.9741354547869986e+38,7.793010113982521e+37,1.65034361884768e+36
5100,9824.691129592848,258.0,237.0,209.0,296.0,294541111958629.44,294542629661122.56,294543329593424.3,1.6606240239056787e+39,7.611772611066743e+38,9.546907910516742e+39,8.346000105606364e+39,0.02549824050518179,0.02210636688013734,0.01111096257025812,4.2209325400739914e+38,7.451670307005148e+38,1.3348710187154084e+39,2.9102568136415264e+38,5.304521207643195e+40,9.355652785096642e+40,1.3222587016017147e+41,5.791207381564002e+40,2.0950205444163966e+38,8.264726694373081e+37,1.7388828596673418e+36
5200,10016.93904339847,254.0,241.0,213.0,292.0,300304357962659.8,300305897190082.6,300306609839115.7,1.7456571551758246e+39,8.063628324730091e+38,9.786374522176435e+39,8.534136808769708e+39,0.06523648885988442,0.02042895931752109,0.01326165184576289,4.464897223276492e+38,7.89412556876104e+38,1.3687326367987167e+39,2.979468518072789e+38,5.607056915250237e+40,9.911286032613707e+40,1.355907436956716e+41,5.926595240558051e+40,2.219411316361901e+38,8.7552132004013e+37,1.8316317436246e+36
