branch,sep,s1,off,bias,n,regime,s1_fit,sep_fit
fc,2.2,0.4,5.0,,0,,,
fc,2.2,0.4,6.0,,0,,,
fc,2.2,0.4,7.0,,0,,,
fc,2.2,0.6,-0.25,,0,,,
fc,2.2,0.6,0.0,,0,,,
fc,2.2,0.6,0.25,,0,,,
fc,2.2,0.6,0.5,,0,,,
fc,2.2,0.6,0.75,,0,,,
fc,2.2,0.6,1.0,,0,,,
fc,2.2,0.6,1.1,,0,,,
fc,2.2,0.6,1.15,,0,,,
fc,2.2,0.6,1.25,,0,,,
fc,2.2,0.6,1.5,,0,,,
fc,2.2,0.6,1.75,,0,,,
fc,2.2,0.6,2.0,,0,,,
fc,2.2,0.6,2.5,,0,,,
fc,2.2,0.6,3.0,,0,,,
fc,2.2,0.6,4.0,,0,,,
fc,2.2,0.6,5.0,,0,,,
fc,2.2,0.6,6.0,,0,,,
fc,2.2,0.6,7.0,,0,,,
fc,2.2,0.7,-0.25,,0,,,
fc,2.2,0.7,0.0,,0,,,
fc,2.2,0.7,0.25,,0,,,
fc,2.2,0.7,0.5,,0,,,
fc,2.2,0.7,0.75,,0,,,
fc,2.2,0.7,1.0,,0,,,
fc,2.2,0.7,1.1,,0,,,
fc,2.2,0.7,1.15,,0,,,
fc,2.2,0.7,1.25,,0,,,
fc,2.2,0.7,1.5,,0,,,
fc,2.2,0.7,1.75,,0,,,
fc,2.2,0.7,2.0,,0,,,
fc,2.2,0.7,2.5,,0,,,
fc,2.2,0.7,3.0,,0,,,
fc,2.2,0.7,4.0,,0,,,
fc,2.2,0.7,5.0,,0,,,
fc,2.2,0.7,6.0,,0,,,
fc,2.2,0.7,7.0,,0,,,
fc,2.2,0.8,-0.25,,0,,,
fc,2.2,0.8,0.0,,0,,,
fc,2.2,0.8,0.25,,0,,,
fc,2.2,0.8,0.5,,0,,,
fc,2.2,0.8,0.75,,0,,,
fc,2.2,0.8,1.0,,0,,,
fc,2.2,0.8,1.1,,0,,,
fc,2.2,0.8,1.15,,0,,,
fc,2.2,0.8,1.25,,0,,,
fc,2.2,0.8,1.5,,0,,,
fc,2.2,0.8,1.75,,0,,,
fc,2.2,0.8,2.0,,0,,,
fc,2.2,0.8,2.5,,0,,,
fc,2.2,0.8,3.0,,0,,,
fc,2.2,0.8,4.0,,0,,,
fc,2.2,0.8,5.0,,0,,,
fc,2.2,0.8,6.0,,0,,,
fc,2.2,0.8,7.0,,0,,,
fc,2.2,0.9,-0.25,,0,,,
fc,2.2,0.9,0.0,,0,,,
fc,2.2,0.9,0.25,,0,,,
fc,2.2,0.9,0.5,,0,,,
fc,2.2,0.9,0.75,,0,,,
fc,2.2,0.9,1.0,,0,,,
fc,2.2,0.9,1.1,,0,,,
fc,2.2,0.9,1.15,,0,,,
fc,2.2,0.9,1.25,,0,,,
fc,2.2,0.9,1.5,,0,,,
fc,2.2,0.9,1.75,,0,,,
fc,2.2,0.9,2.0,,0,,,
fc,2.2,0.9,2.5,,0,,,
fc,2.2,0.9,3.0,,0,,,
fc,2.2,0.9,4.0,,0,,,
fc,2.2,0.9,5.0,,0,,,
fc,2.2,0.9,6.0,,0,,,
fc,2.2,0.9,7.0,,0,,,
fc,2.2,1.0,-0.25,,0,,,
fc,2.2,1.0,0.0,,0,,,
fc,2.2,1.0,0.25,,0,,,
fc,2.2,1.0,0.5,,0,,,
fc,2.2,1.0,0.75,,0,,,
fc,2.2,1.0,1.0,,0,,,
fc,2.2,1.0,1.1,,0,,,
fc,2.2,1.0,1.15,,0,,,
fc,2.2,1.0,1.25,,0,,,
fc,2.2,1.0,1.5,,0,,,
fc,2.2,1.0,1.75,,0,,,
fc,2.2,1.0,2.0,,0,,,
fc,2.2,1.0,2.5,,0,,,
fc,2.2,1.0,3.0,,0,,,
fc,2.2,1.0,4.0,,0,,,
fc,2.2,1.0,5.0,,0,,,
fc,2.2,1.0,6.0,,0,,,
fc,2.2,1.0,7.0,,0,,,
fc,2.2,1.1,-0.25,,0,,,
fc,2.2,1.1,0.0,,0,,,
fc,2.2,1.1,0.25,,0,,,
fc,2.2,1.1,0.5,,0,,,
fc,2.2,1.1,0.75,,0,,,
fc,2.2,1.1,1.0,,0,,,
fc,2.2,1.1,1.1,,0,,,
fc,2.2,1.1,1.15,,0,,,
fc,2.2,1.1,1.25,,0,,,
fc,2.2,1.1,1.5,,0,,,
fc,2.2,1.1,1.75,,0,,,
fc,2.2,1.1,2.0,,0,,,
fc,2.2,1.1,2.5,,0,,,
fc,2.2,1.1,3.0,,0,,,
fc,2.2,1.1,4.0,,0,,,
fc,2.2,1.1,5.0,,0,,,
fc,2.2,1.1,6.0,,0,,,
fc,2.2,1.1,7.0,,0,,,
fc,2.2,1.2,-0.25,,0,,,
fc,2.2,1.2,0.0,,0,,,
fc,2.2,1.2,0.25,,0,,,
fc,2.2,1.2,0.5,,0,,,
fc,2.2,1.2,0.75,,0,,,
fc,2.2,1.2,1.0,,0,,,
fc,2.2,1.2,1.1,,0,,,
fc,2.2,1.2,1.15,,0,,,
fc,2.2,1.2,1.25,,0,,,
fc,2.2,1.2,1.5,,0,,,
fc,2.2,1.2,1.75,,0,,,
fc,2.2,1.2,2.0,,0,,,
fc,2.2,1.2,2.5,,0,,,
fc,2.2,1.2,3.0,,0,,,
fc,2.2,1.2,4.0,,0,,,
fc,2.2,1.2,5.0,,0,,,
fc,2.2,1.2,6.0,,0,,,
fc,2.2,1.2,7.0,,0,,,
fc,2.2,1.3,-0.25,,0,,,
fc,2.2,1.3,0.0,,0,,,
fc,2.2,1.3,0.25,0.040715781913832294,1,FC*,2.2705682681280788,2.1614050369408644
fc,2.2,1.3,0.5,0.04247849662881842,1,FC*,2.0348629848336675,2.2107324263874535
fc,2.2,1.3,0.75,0.044243272871892336,1,FC*,1.9051184029583386,2.2390151424389946
fc,2.2,1.3,1.0,,0,,,
fc,2.2,1.3,1.1,0.03502311738017039,1,FC,1.5084450990142682,2.212304895780867
fc,2.2,1.3,1.15,,0,,,
