depth,s1,off,a_edge,bias,n,bias_spread,regime
5.0,2.5,0.5,0.9166663966429273,0.0012092066865372526,3,0.004403391166082515,FC*
5.0,2.5,0.75,1.1017866344132479,-0.0005277447780909402,3,0.002577871324686176,FC
5.0,2.5,1.0,1.2320348137693207,-0.0006281466757998011,3,0.0029638601369225692,FC
5.0,2.5,1.35,1.3099968492046201,-0.000824947691767682,3,0.003757055690121358,FC
6.0,0.6,-0.25,0.7496158921806436,0.03315072597809362,3,0.0008178935103252405,FC*
6.0,0.6,0.0,0.8017929939559645,0.035846358529911505,3,0.0008709820675704139,FC*
6.0,0.6,0.25,0.8581137683137628,0.03883291207459475,3,0.0009333039535204257,FC*
6.0,0.6,0.5,0.9166666546282417,0.042147452635537874,3,0.0010077238061717564,FC*
6.0,0.6,0.75,0.9752195409427217,0.044767748861892165,3,0.0011715144725898963,FC*
6.0,0.6,1.0,1.0315403153005172,0.04878860172228842,3,0.0012935061499803613,FC*
6.0,0.6,1.35,1.1031016516819119,0.05511545412512483,3,0.0009495322166510611,FC*
6.0,0.8,-0.25,0.705014269435715,0.019735649664293493,3,0.0011916136655809595,FC*
6.0,0.8,0.0,0.7681576728252052,0.020747896979613285,3,0.0013241050772810903,FC*
6.0,0.8,0.25,0.839963079840809,0.02268944091098531,3,0.0013861060185500484,FC*
6.0,0.8,0.5,0.9166666546282417,0.024878186942497365,3,0.0014534910253509725,FC*
6.0,0.8,0.75,0.9933702294156737,0.027353440160944098,3,0.001527827874114096,FC*
6.0,0.8,1.0,1.0651756364312785,0.029120090743122162,3,0.0017481136207843084,FC*
6.0,0.8,1.35,1.1506420575722915,0.012804927335335966,3,0.0003567098872072627,FC
6.0,1.0,-0.25,0.6672690416473827,0.012090928170230905,3,0.0016438712324138294,FC*
6.0,1.0,0.0,0.7377493257910573,0.013270077616360973,3,0.001739047392572468,FC*
6.0,1.0,0.25,0.8228480730199782,0.01460598949995151,3,0.0018420003724753942,FC*
6.0,1.0,0.5,0.9166666546282413,0.015338210622492373,3,0.0020539272091177896,FC*
6.0,1.0,0.75,1.0104852362365058,0.016999240273497713,3,0.002189501074963296,FC*
6.0,1.0,1.0,1.095583983465427,0.0189060874785566,3,0.0023389580398649468,FC*
6.0,1.0,1.35,1.18960849874828,0.006665705118161743,3,0.0007674485006786691,FC
6.0,1.2,-0.25,0.6359956172198502,0.00832787798049354,3,0.0018454253881077243,FC*
6.0,1.2,0.0,0.7106744589476565,0.008589672292910818,3,0.0020375017450795507,FC*
6.0,1.2,0.25,0.8068866102733602,0.009512418615696147,3,0.0021766466082908664,FC*
6.0,1.2,0.5,0.9166666546282428,0.01056887910953086,3,0.002329552459522155,FC*
6.0,1.2,0.75,1.026446698983124,0.01178425790774936,3,0.002497983537582682,FC*
6.0,1.2,1.0,1.1226588503088257,0.0030690105341025045,3,0.0012919006688991708,FC
6.0,1.2,1.35,1.2208005899352867,0.0037045604006129182,3,0.001844681188917452,FC
6.0,1.4,-0.25,0.6104467395138431,0.005414095574734268,3,0.0020409366970605136,VFC
6.0,1.4,0.0,0.6868334300384946,0.0060122310892945325,3,0.0021844929371963584,FC*
6.0,1.4,0.25,0.7921372365400173,0.006697060818463256,3,0.002342877305810509,FC*
6.0,1.4,0.5,0.9166666546282413,0.007484908971684819,3,0.0025180522027720142,FC*
6.0,1.4,0.75,1.0411960727164649,0.0077042204489555415,3,0.0028146437903374677,FC*
6.0,1.4,1.0,1.1464998792179895,0.00171670618787186,3,0.0014238365101294503,FC
6.0,1.4,1.35,1.24538961448515,0.002086265449704139,3,0.0019526276188289726,FC
6.0,1.7,-0.25,0.5809602114546889,0.003644099762534917,3,0.0021061743078631956,VFC
6.0,1.7,0.0,0.6566141630894056,0.0036068476595954766,3,0.002323129768411647,FC*
6.0,1.7,0.25,0.7722946285454944,0.004060863774627961,3,0.0025010096517461555,FC*
6.0,1.7,0.5,0.9166666546282428,0.004041075039621552,3,0.002781565248456963,FC*
6.0,1.7,0.75,1.0610386807109886,0.0006222090506800004,3,0.0012414082492168133,FC
6.0,1.7,1.0,1.176719146167079,0.0007439869474975916,3,0.0013733828056109454,FC
6.0,1.7,1.35,1.272534445972043,0.0007870290632291203,3,0.0016633760937245223,FC
6.0,2.0,-0.25,0.5596422172065806,0.0017623362177710729,3,0.0022528581734285735,VFC
6.0,2.0,0.0,0.6321343654201929,0.002015179536134356,3,0.002425993329276954,FC*
6.0,2.0,0.25,0.7550721407030346,0.0023091209291912587,3,0.0026191620422649775,FC*
6.0,2.0,0.5,0.9166666546282419,0.0026525347925943077,3,0.0028354359420513786,FC*
6.0,2.0,0.75,1.0782611685534478,8.658310607521462e-05,3,0.0014478772811910567,FC
6.0,2.0,1.0,1.2011989438362898,0.00013421425757847993,3,0.0016105025906662518,FC
6.0,2.0,1.35,1.291115720748163,7.475718211774618e-05,3,0.0019468727625375215,FC
6.0,2.5,-0.25,0.5364071782363491,0.00011492569273034252,3,0.00238378128677863,VFC
6.0,2.5,0.0,0.6012982375018489,0.0008186393713500347,3,0.0024720455196630686,VFC
6.0,2.5,0.25,0.7315464168579217,0.0006239824333080605,3,0.002734033555763904,FC*
6.0,2.5,0.5,0.9166666546282424,0.0007832917111457727,3,0.0029690000814073247,FC*
6.0,2.5,0.75,1.1017868923985628,-0.00027038173026603757,3,0.001424043355874094,FC
6.0,2.5,1.0,1.2320350717546364,-0.00039533867142253304,3,0.0016338548652715112,FC
6.0,2.5,1.35,1.309997107189935,-0.0003925040169460529,3,0.0019083564851176682,FC
6.5,0.6,-0.25,0.7496159016755767,0.028938971961995536,3,0.00044431028158731234,FC*
6.5,0.6,0.0,0.8017930034508981,0.03117783851975568,3,0.0004393745520581138,FC*
6.5,0.6,0.25,0.8581137778086946,0.03364909820652828,3,0.0004344267180199646,FC*
6.5,0.6,0.5,0.9166666641231745,0.0363819475755048,3,0.000430540847657479,FC*
6.5,0.6,0.75,0.9752195504376536,0.03847620664222451,3,0.0005265520162688331,FC*
6.5,0.6,1.0,1.0315403247954518,0.041769086371726494,3,0.0005425354314959607,FC*
6.5,0.6,1.35,1.1031016611768452,0.04690537449543989,3,0.001526665774479019,FC*
6.5,0.8,-0.25,0.7050142789306476,0.017087794321736016,3,0.0010010400386250007,FC*
6.5,0.8,0.0,0.7681576823201371,0.017869554507715584,3,0.0011028416404669228,FC*
6.5,0.8,0.25,0.839963089335742,0.01944332312901198,3,0.0011462797224718324,FC*
6.5,0.8,0.5,0.9166666641231734,0.02120630142973005,3,0.001191864123059827,FC*
6.5,0.8,0.75,0.9933702389106065,0.02318728549408285,3,0.0012400265070646732,FC*
6.5,0.8,1.0,1.0651756459262123,0.024527228901564706,3,0.0013967898999603934,FC*
6.5,0.8,1.35,1.1506420670672253,0.00964394804862038,3,0.00021434167039335872,FC
6.5,1.0,-0.25,0.6672690511423145,0.01043060404199514,3,0.0013803845081311605,FC*
6.5,1.0,0.0,0.7377493352859915,0.01138591256129573,3,0.0014534926792676428,FC*
6.5,1.0,0.25,0.8228480825149102,0.012460032583507327,3,0.0015317684842962587,FC*
6.5,1.0,0.5,0.9166666641231741,0.012997474791577016,3,0.0016937595915340609,FC*
6.5,1.0,0.75,1.0104852457314384,0.01431042960950942,3,0.001793911980483176,FC*
6.5,1.0,1.0,1.0955839929603595,0.015804498389883886,3,0.0019024754967902346,FC*
6.5,1.0,1.35,1.1896085082432133,0.004816973521426145,3,0.000790790219420523,FC
6.5,1.2,-0.25,0.635995626714783,0.007178774542300907,3,0.0015479953105658195,FC*
6.5,1.2,0.0,0.7106744684425887,0.007359452866874154,3,0.0016978291452437455,FC*
6.5,1.2,0.25,0.8068866197682915,0.008099399844308667,3,0.001804511213977289,FC*
6.5,1.2,0.5,0.9166666641231744,0.008938972770255127,3,0.0019207553786613207,FC*
6.5,1.2,0.75,1.0264467084780569,0.009895615602976285,3,0.002047623039233004,FC*
6.5,1.2,1.0,1.122658859803759,0.002430611947177974,3,0.0008791934670189239,FC
