logr,z,step,barT,x,cls_deep,cls_prod,mid_deep,mid_prod,a_deep,a_prod,da,bhi_deep,bhi_prod,dlog_bhi,nuM_deep,nuM_prod,sep_deep,s1_deep,off_deep,depth_deep,bias_deep,total
-4.0,4,1821,111.35061166113793,85.25651698735813,FC,VFC,plateau_recentred,plateau,0.5032416828969886,0.4909818055196053,0.012259877377383266,0.002748454531099958,0.0030438312724760446,-0.044332018052081465,2817.9032979820618,2817.9032979820618,6.245433741911477,1.6515624398286501,1.1936548147238257,7.439088556635303,-0.00021196580341772153,0.012471843180800987
-4.0,4,1824,114.38412616720363,87.57915246425016,FC,VFC,plateau_recentred,plateau,0.5031029812907685,0.4906920986816691,0.012410882609099394,0.0026788717694428738,0.0029697130652548876,-0.04476256408581315,2740.920651122886,2740.920651122886,6.244075199351996,1.655368460902147,1.1838767262173127,7.4279519255693085,-0.0002220909995073092,0.012632973608606704
-4.0,4,1827,117.50028243087829,89.96506328652508,FC,VFC,plateau_recentred,plateau,0.5033234525785006,0.49039595037451206,0.012927502203988583,0.0026013786758567557,0.002897180453656072,-0.0467719705895582,2740.920651122886,2740.920651122886,6.244438941886042,1.6573352706802014,1.1707646340178908,7.4152035759039325,-0.00022883045872182486,0.013156332662710409
-4.0,4,1830,120.70133185398878,92.41597325861677,FC,VFC,plateau_recentred,plateau,0.503184677444697,0.4906850145277361,0.012499662916960863,0.0025405888155571113,0.0028174236973631844,-0.04491778127335561,2465.2369599557087,2465.2369599557087,6.243938287841611,1.660079276570069,1.160996094019204,7.404934381860815,-0.00023662330512547167,0.012736286222086335
-4.0,4,1833,123.98958717309549,94.93365314640525,FC,VFC,plateau_recentred,plateau,0.5032155065423939,0.490388909760516,0.012826596781877864,0.0024747278340791555,0.002750753329904925,-0.0459242043596748,2397.468507343454,2397.468507343454,6.243046211422837,1.6666926648891955,1.1504812315812707,7.393527443004108,-0.0002527034187226441,0.013079300200600507
-4.0,4,1836,127.36742413042924,97.51992195658332,FC,VFC,plateau_recentred,plateau,0.5032664374518782,0.4900867479212327,0.013179689530645466,0.0024047776332829277,0.002682008564780911,-0.047385236492402276,2450.0157651384484,2450.0157651384484,6.242943780691881,1.6663281202237705,1.1381311432183772,7.381074923910258,-0.0002439367564245275,0.013423626287069994
-4.0,4,1839,130.83728319034785,100.17664825087573,FC,VFC,plateau_recentred,plateau,0.5031279318367825,0.49038152339731217,0.012746408439470336,0.002343826012716956,0.002602723909795461,-0.04550273179757048,2383.083483046961,2383.083483046961,6.241528923553524,1.6703846634785298,1.1283964463687095,7.369925369922234,-0.00024593861628888615,0.012992347055759221
-4.0,4,1842,134.4016713025567,102.90575149606366,FC,VFC,plateau_recentred,plateau,0.5031578256862989,0.49007988086834914,0.013077944817949716,0.002281271413158247,0.0025391453093620777,-0.04651059691925006,2383.083483046961,2383.083483046961,6.242375288541706,1.6677170053057166,1.1158016697839157,7.358176958325622,-0.00023164211496748077,0.013309586932917197
-4.0,4,1845,138.06316371336194,105.7092034507856,FC,VFC,plateau_recentred,plateau,0.5032097013730968,0.49037339014839926,0.012836311224697583,0.0022205702110287863,0.0024667106323388688,-0.045653696319846865,2284.4953359262554,2284.4953359262554,6.240903623225064,1.6762443563396914,1.1055608862280248,7.346464509453089,-0.0002592858956411738,0.013095597120338757
-4.0,4,1848,141.82440582626876,108.58902959011988,FC,VFC,plateau_recentred,plateau,0.5032410587841599,0.4900711849447263,0.013169873839433632,0.0021614834301628932,0.0024066720716812958,-0.04666500760956314,2222.0849268029237,2222.0849268029237,6.239659082871917,1.683158638424223,1.0950928277280774,7.334751910599994,-0.0002833498518972083,0.01345322369133084
-4.0,4,1851,145.68811511326754,111.54731056897677,FC,VFC,plateau_recentred,plateau,0.5032916039639571,0.4897630459853982,0.013528557978558897,0.002103894560504163,0.002350544782609907,-0.04814455901021833,2130.157288834383,2130.157288834383,6.24027948898161,1.6817249847113254,1.082744481795407,7.323023970777017,-0.0002620669366044668,0.013790624915163365
-4.0,4,1854,149.65708307818898,114.58618372535747,FC,VFC,plateau_recentred,plateau,0.5031532339677791,0.49006205262000435,0.01309118134777476,0.0020523857822651037,0.0022830988094076662,-0.04626571011657626,1998.5860909438802,1998.5860909438802,6.239201417618462,1.6855006682130305,1.0730575798357496,7.312258997454212,-0.0002713292452610241,0.013362510593035785
-4.0,4,1857,153.73417727354678,117.70784462456649,FC,VFC,plateau_recentred,plateau,0.5031836941529342,0.4897540202892983,0.01342967386363586,0.001999105487480801,0.002229084857068707,-0.047290890281416004,1943.6456981963713,1943.6456981963713,6.238204965361064,1.6926397213107383,1.0626307459266862,7.30083571128775,-0.0002885061234240197,0.01371817998705988
-4.0,4,1860,157.92234337232483,120.91454864549256,FC,VFC,plateau_recentred,plateau,0.5032350972900643,0.49005214019403437,0.013182957096029957,0.001942524879343365,0.0021616262588110475,-0.046414017556755095,1986.246154157491,1986.246154157491,6.238094045018185,1.6920987770130367,1.0502725448189079,7.288366589837093,-0.0002898784004634527,0.01347283549649341
-4.0,4,1863,162.22460729620616,124.20861261010481,FC,VFC,plateau_recentred,plateau,0.5030969570687965,0.4897440067158381,0.013352950352958415,0.0018932182720934503,0.0021089973695013198,-0.04687535071544596,1931.9836511218473,1931.9836511218473,6.236577330385373,1.6966110882779197,1.0406233569545638,7.277200687339937,-0.0003014402097274221,0.013654390562685838
-4.0,4,1866,166.6440774017808,127.59241645734086,FC,VFC,plateau_recentred,plateau,0.5033170952893725,0.4894291403844484,0.013887954904924116,0.0018383529976891265,0.0020575067263013634,-0.04891235605124417,1931.9836511218473,1931.9836511218473,6.236921493995106,1.6983974812127107,1.02750741361477,7.264428907609876,-0.0003078019917565681,0.014195756896680683
-4.0,4,1869,171.18394672631246,131.06840496259667,FC,VFC,plateau_recentred,plateau,0.5031788464121356,0.48973269343518805,0.013446152976947567,0.0017952748824198942,0.0020006433660969243,-0.04703872363060043,1737.6634018298032,1737.6634018298032,6.236258931863135,1.7018005916018792,1.0178720228775386,7.254130954740674,-0.00031485576847780446,0.013761008745425372
-4.0,4,1872,175.8474952946862,134.63908950406014,FC,VFC,plateau_recentred,plateau,0.5032098658399587,0.4894179949110533,0.013791870928905436,0.001745758647313401,0.0019500515395571257,-0.04806188792846731,1801.4609142011902,1801.4609142011902,6.234487266954956,1.7102652681217259,1.0074969349659995,7.241984201920955,-0.0003250306123565043,0.014116901541261941
-4.0,4,1875,180.63809248920455,138.307049877165,FC,VFC,plateau_recentred,plateau,0.5032608213454455,0.48909716506808165,0.014163656277363823,0.0016991178182672066,0.0019045274369544121,-0.0495637393040611,1726.9344887087937,1726.9344887087937,6.235082245701949,1.7086072971839397,0.9951412485580704,7.230223494260019,-0.00032485938068453277,0.014488515658048356
-4.0,4,1878,185.5591994839431,142.0749361584755,FC,VFC,plateau_recentred,plateau,0.5031227932467601,0.4894063286757748,0.013716464570985298,0.0016559544591652868,0.001848031710743323,-0.04766103012585844,1679.7561529623497,1679.7561529623497,6.233503374245709,1.7133874611075102,0.9855450147217653,7.219048388967474,-0.00032932395145505967,0.014045788522440358
-4.0,4,1881,190.61437174542544,145.94547062034866,FC,VFC,plateau_recentred,plateau,0.5031528690649368,0.48908445445991355,0.014068414605023283,0.0016116742896777026,0.001802929961699812,-0.04870157818029198,1679.7561529623497,1679.7561529623497,6.234331510491392,1.7102954232508152,0.9729457673695787,7.207277277860971,-0.00032615142694122836,0.014394566031964512
-4.0,4,1884,195.80726160142387,149.92144969775794,FC,VFC,plateau_recentred,plateau,0.5032047500440415,0.489392315165461,0.013812434878580526,0.001568712067759748,0.0017513228374095053,-0.04782297345545581,1610.2646525960185,1610.2646525960185,6.232693355726135,1.719778539784594,0.9628498817687481,7.195543237494883,-0.0003350058794397894,0.014147440758020316
-4.0,4,1887,201.14162087974137,154.0057460086984,FC,VFC,plateau_recentred,plateau,0.5032362677754391,0.48907104455356265,0.01416522322187641,0.0015268899304558613,0.0017087234803131973,-0.048864056282621283,1566.2736344551927,1566.2736344551927,6.2312777559727035,1.7275760229806312,0.9525299750466605,7.183807731019364,-0.00034226060448635246,0.014507483826362763
-4.0,4,1890,206.62130361888174,158.20131042963368,FC,VFC,plateau_recentred,plateau,0.5032868328794042,0.48874287838740094,0.014543954492003297,0.0014861415248256145,0.0016689164700752189,-0.0503744314825538,1501.476905090298,1501.476905090298,6.2318815468170135,1.7257751409013977,0.9401786223142397,7.172060169131253,-0.0003403199637436845,0.014884274455746981
-4.0,4,1893,212.2502688525665,162.5111742274846,FC,VFC,plateau_recentred,plateau,0.5031488930777221,0.4890570544632891,0.014091838614433028,0.0014496791222293546,0.001620862723359841,-0.04847435006286995,1408.7367510917381,1408.7367510917381,6.230631159103732,1.7302650819771166,0.9306407252920952,7.161271884395827,-0.00034448213125188616,0.014436320745684914
